Species,FlowerID,Trait
Ferula olivacea,F00565,I
Ferula ovina,F00566,I
Ferula paeoniifolia,F00567,I
Ferula potaninii,F00568,I
Ferula sibirica,F00569,I
Ferula sinkiangensis,F00570,I
Ferula songarica,F00571,I
Ferula syreitschikowii,F00572,I
Ferula teterrima,F00573,I
Ferula transiliensis,F00574,I
Ferulopsis hystrix,F00575,I
Foeniculum vulgare,F00576,I
Glehnia littoralis,F00577,I
Haloselinum falcaria,F00578,I
Hansenia forbesii,F00579,I
Hansenia forrestii,F00580,I
Hansenia himalayensis,F00581,I
Hansenia oviformis,F00582,I
Hansenia phaea,F00583,I
Hansenia pinnatiinvolucellata,F00584,I
Hansenia trifoliolata,F00585,I
Hansenia weberbaueriana,F00586,I
Harrysmithia franchetii,F00587,I
Harrysmithia heterophylla,F00588,I
Helania radialipetala,F00589,I
Heracleum candicans,F00590,I
Heracleum dissectifolium,F00591,I
Heracleum dissectum,F00592,I
Heracleum fargesii,F00593,I
Heracleum forrestii,F00594,I
Heracleum franchetii,F00595,I
Heracleum hemsleyanum,F00596,I
Heracleum henryi,F00597,I
Heracleum kingdonii,F00598,I
Heracleum moellendorffii,F00600,I
Heracleum nyalamense,F00601,I
Heracleum oreocharis,F00602,I
Heracleum rapula,F00603,I
Heracleum scabridum,F00604,I
Heracleum souliei,F00605,I
Heracleum stenopteroides,F00606,I
Heracleum stenopterum,F00607,I
Heracleum subtomentellum,F00608,I
Heracleum tiliifolium,F00609,I
Heracleum vicinum,F00610,I
Heracleum wenchuanense,F00611,I
Heracleum wolongense,F00612,I
Heracleum xiaojinense,F00613,I
Heracleum yungningense,F00614,I
Hyalolaena bupleuroides,F00615,I
Hyalolaena trichophylla,F00616,I
Hyalolaena zhang-minglii,F00617,I
Hymenidium album,F00618,I
Hymenidium amabile,F00619,I
Hymenidium apiolens,F00620,I
Hymenidium astrantioideum,F00621,I
Hymenidium benthamii,F00622,I
Hymenidium chloroleucum,F00623,I
Hymenidium cristatum,F00624,I
Hymenidium davidii,F00625,I
Hymenidium decurrens,F00626,I
Hymenidium delavayi,F00627,I
Hymenidium dentatum,F00628,I
Hymenidium foetens,F00629,I
Hymenidium giraldii,F00630,I
Hymenidium hedinii,F00631,I
Hymenidium heracleifolium,F00632,I
Hymenidium heterosciadium,F00633,I
Hymenidium hookeri,F00634,I
Hymenidium huzhihaoi,F00635,I
Hymenidium ladyginii,F00636,I
Hymenidium lhasanum,F00637,I
Hymenidium lindleyanum,F00638,I
Hymenidium linearilobum,F00639,I
Hymenidium macrochlaenum,F00640,I
Hymenidium mieheanum,F00641,I
Hymenidium nubigenum,F00642,I
Hymenidium pachycaule,F00643,I
Hymenidium pilosum,F00644,I
Hymenidium pulszkyi,F00645,I
Hymenidium stellatum,F00646,I
Hymenidium szechenyii,F00647,I
Hymenidium tsekuense,F00648,I
Hymenidium virgatum,F00649,I
Hymenidium wilsonii,F00650,I
Hymenidium wrightianum,F00651,I
Hymenidium yunnanense,F00652,I
Hymenolaena candollei,F00653,I
Kailashia bouffordii,F00654,I
Kailashia xizangensis,F00655,I
Keraymonia cortiformis,F00656,I
Kitagawia baicalensis,F00657,I
Kitagawia formosana,F00658,I
Kitagawia macilenta,F00659,I
Kitagawia pilifera,F00660,I
Kitagawia stepposa,F00661,I
Kitagawia terebinthacea,F00662,I
Kozlovia longiloba,F00663,I
Ledebouriella multiflora,F00664,I
Levisticum officinale,F00665,I
Libanotis abolinii,F00666,I
Libanotis acaulis,F00667,I
Libanotis buchtormensis,F00668,I
Libanotis condensata,F00669,I
Libanotis depressa,F00670,I
Libanotis eriocarpa,F00671,I
Libanotis grubovii,F00672,I
Libanotis iliensis,F00673,I
Libanotis incana,F00674,I
Libanotis jinanensis,F00675,I
Libanotis lancifolia,F00676,I
Libanotis lanzhouensis,F00677,I
Libanotis laticalycina,F00678,I
Libanotis schrenkiana,F00679,I
Libanotis seseloides,F00680,I
Libanotis sibirica,F00681,I
Libanotis spodotrichoma,F00682,I
Libanotis wannienchun,F00683,I
Ligusticopsis acaulis,F00684,I
Ligusticopsis angelicifolia,F00685,I
Ligusticopsis brachyloba,F00686,I
Ligusticopsis capillacea,F00687,I
Ligusticopsis daucoides,F00688,I
Ligusticopsis deqenensis,F00689,I
Ligusticopsis franchetii,F00690,I
Ligusticopsis hispida,F00691,I
Ligusticopsis involucrata,F00692,I
Ligusticopsis likiangensis,F00693,I
Ligusticopsis longiloba,F00694,I
Ligusticopsis multivittata,F00695,I
Ligusticopsis pseudodaucoides,F00696,I
Ligusticopsis pubescens,F00697,I
Ligusticopsis purpurascens,F00698,I
Ligusticopsis rechingeriana,F00699,I
Ligusticopsis scapiformis,F00700,I
Ligusticopsis wallichiana,F00701,I
Ligusticopsis xizangensis,F00702,I
Ligusticum glaucescens,F00703,I
Ligusticum glaucifolium,F00704,I
Ligusticum gongshanense,F00705,I
Ligusticum kingdon-wardii,F00706,I
Ligusticum littledalei,F00707,I
Ligusticum mairei,F00708,I
Ligusticum moniliforme,F00709,I
Ligusticum mucronatum,F00710,I
Ligusticum nematophyllum,F00711,I
Ligusticum nullivittatum,F00712,I
Ligusticum oliverianum,F00713,I
Ligusticum pteridophyllum,F00714,I
Ligusticum reptans,F00715,I
Ligusticum sikiangense,F00716,I
Ligusticum thomsonii,F00717,I
Ligusticum yunnanense,F00718,I
Lithosciadium kamelinii,F00719,I
